planet_name,planet_alternate_name,planet_name_key,type,planetary_body_type,type_body,star_system,level,gravity,o2,condition,ok for 0 hab skill,temperature,atmosphere,magnetosphere,water,planet_resources,planet_resources_count,fauna,flora,biomes_cleaned,biomes_simple,traits_cleaned,criteria_match,water_simple,temperature_intensity,pressure_intensity,atmosphere_intensity,gravity_intensity,resources_matched,bodytype_for_predictor_algorithm,temp_for_predictor_algorithm,atmotype_for_predictor_algorithm,mag_for_predictor_algorithm,water_for_predictor_algorithm,fauna_predictor_algorithm,flora_predictor_algorithm,fauna_result,flora_result
Enlil VI-d,,EnlilVId,Ice,Moon,Ice Moon,Enlil,65,0.03,,,,Deep freeze,None,None,Chemical,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Enlil VII,,EnlilVII,Ice giant,Planet,Ice giant Planet,Enlil,65,0.97,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Enlil VII-a,,EnlilVIIa,Barren,Moon,Barren Moon,Enlil,65,0.43,,,,Deep freeze,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Eridani I,,EridaniI,Rock,Planet,Rock Planet,Eridani,20,0.77,,,,Inferno,Extr CO2,Powerful,None,"Cl,U",2,Unknown,Unknown,"Desert-Rocky,SavannahBarren,Volcanic","Desert,Savannah,Volcanic",Unknown,37.5%,No,1,2,3,0,0,4,7,4,7,1,0,0,0*,0*
Eridani II,,EridaniII,Rock,Planet,Rock Planet,Eridani,20,0.86,,,,Temperate,Std O2,Average,Safe,"Au,Cl,Co,Cu,F,Fe,H20,Ni",8,Unknown,Unknown,"Desert-Rocky,Forest,Hills,Mountains,Ocean,Polar-Ice","Desert,Forest,Hills,Mountains,Ocean,Ice",Unknown,95.8%,Yes,0,0,0,0,2,4,4,6,4,6,4,4,4*,4*
Eridani III,,EridaniIII,Rock,Planet,Rock Planet,Eridani,20,1.94,,,,Temperate,Std O2,Average,Heavy metal,"Ar,H20,Ir,Pu,U,V",6,Abundant (6),Abundant (5),"Desert-Sandy,Ocean,Polar-Ice","Desert,Ocean,Ice",Unknown,83.3%,Yes,0,0,0,0,0,4,4,6,4,2,3,3,6,5
Eridani III-a,,EridaniIIIa,Barren,Moon,Barren Moon,Eridani,20,0.20,,,,Temperate,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Eridani III-b,,EridaniIIIb,Rock,Moon,Rock Moon,Eridani,20,0.41,,,,Temperate,Thin CO2,None,Safe,"Cl,Fe,H20,He-3,Ir,Ni,U,V",8,None,None,"Cratered,Desert-Rocky,Desert-Sandy,Polar-Ice","Cratered,Desert,Ice",Solar Storm Seasons Gravitational Anomaly,58.3%,Yes,0,0,3,0,3,4,4,4,1,6,1,1,0,0
Eridani III-c,,EridaniIIIc,Barren,Moon,Barren Moon,Eridani,20,0.10,,,,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Eridani IV,,EridaniIV,Rock,Planet,Rock Planet,Eridani,20,0.80,,,,Cold,Std M,Weak,Chemical,"Ar,F,H20",3,Unknown,Unknown,"Forest,Ocean,Polar-Ice","Forest,Ocean,Ice",Unknown,45.8%,Yes,0,0,3,0,0,4,3,5,3,3,3,3,3*,3*
Eridani IV-a,,EridaniIVa,Barren,Moon,Barren Moon,Eridani,20,0.21,,,,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Eridani IV-b,,EridaniIVb,Barren,Moon,Barren Moon,Eridani,20,0.25,,,,Cold,None,None,None,"Al,Be,Eu,He-3,Nd",5,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Eridani IV-c,,EridaniIVc,Barren,Moon,Barren Moon,Eridani,20,0.13,,,,Cold,None,None,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Eridani IX,,EridaniIX,Ice,Planet,Ice Planet,Eridani,20,0.15,,,,Deep freeze,None,None,Chemical,"H20,Ni",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Eridani V,,EridaniV,Rock,Planet,Rock Planet,Eridani,20,0.54,,,,Cold,Std M,Weak,Safe,"Ag,Cl,H20,Ni,Pb",5,None,None,"Desert-Rocky,Hills,Mountains,Polar-Ice","Desert,Hills,Mountains,Ice",Unknown,58.3%,Yes,0,0,3,0,1,4,3,5,3,6,5,4,0,0
Eridani VI,,EridaniVI,Ice giant,Planet,Ice giant Planet,Eridani,20,1.00,,,,Deep freeze,H2,Weak,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,3,1,0,0,0*,0*
Eridani VI-a,,EridaniVIa,Ice,Moon,Ice Moon,Eridani,20,0.19,,,,Deep freeze,None,None,Safe,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Eridani VII,,EridaniVII,Gas giant,Planet,Gas giant Planet,Eridani,20,2.78,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Eridani VII-a,,EridaniVIIa,Ice,Moon,Ice Moon,Eridani,20,0.04,,,,Deep freeze,None,None,Safe,"Ar,H20,Ne",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Eridani VII-b,,EridaniVIIb,Ice,Moon,Ice Moon,Eridani,20,0.10,,,,Deep freeze,None,None,Chemical,"Ar,H20",2,None,None,Polar-Ice,Ice,None,41.7%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0,0
Eridani VII-c,,EridaniVIIc,Rock,Moon,Rock Moon,Eridani,20,0.33,,,,Deep freeze,Thin CO2,None,Chemical,"Al,Eu,H20,He-3,Pb,Ti,U,W",8,None,None,"Cratered,Desert-Rocky,Desert-Sandy,Polar-Ice","Cratered,Desert,Ice",Unknown,41.7%,Yes,1,0,3,0,3,4,1,4,1,3,0,0,0,0
Eridani VIII,,EridaniVIII,Gas giant,Planet,Gas giant Planet,Eridani,20,4.21,,,,Deep freeze,H2,Massive,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,4,0,2,1,3,8,1,0,0,0,0
Eridani VIII-a,,EridaniVIIIa,Ice,Moon,Ice Moon,Eridani,20,0.35,,,,Deep freeze,None,None,None,,0,None,None,Polar-Ice,Ice,None,33.3%,No,1,0,0,0,0,3,1,1,1,1,0,0,0,0
Eridani VIII-b,,EridaniVIIIb,Rock,Moon,Rock Moon,Eridani,20,0.39,,,,Deep freeze,Thin CO2,None,Heavy metal,"Ag,Al,Be,Co,H20,He-3,Ni,Pb",8,Unknown,Unknown,"Cratered,Desert-Rocky,Hills,Polar-Ice","Cratered,Desert,Hills,Ice",Unknown,45.8%,Yes,1,0,3,0,3,4,1,4,1,2,0,0,0*,0*
Eridani VIII-c,,EridaniVIIIc,Ice,Moon,Ice Moon,Eridani,20,0.10,,,,Deep freeze,None,None,Chemical,"Cl,Cs,H20,Li,SiH3Cl",5,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Eridani VIII-d,,EridaniVIIId,Rock,Moon,Rock Moon,Eridani,20,0.50,,,,Deep freeze,Thin CO2,None,Safe,"Cl,Co,Fe,H20,HnCn,Li,Ni,U",8,Unknown,Unknown,"Hills,Mountains,Ocean,Polar-Ice,SavannahBarren","Hills,Mountains,Ocean,Ice,Savannah",Unknown,62.5%,Yes,1,0,3,0,2,4,1,4,1,6,0,0,0*,0*
Cassiopeia I,,CassiopeiaI,Rock,Planet,Rock Planet,Eta Cassiopeia,20,1.04,,,,Temperate,Std O2,Average,Safe,"Cl,Co,Cu,F,H20,Ni",6,Moderate (6),Moderate (5),"Archipelago,Desert-Sandy,Mountains,Ocean","Coastal,Desert,Mountains,Ocean",Unknown,100.0%,Yes,0,0,0,0,1,4,4,6,4,6,4,4,6,5
Cassiopeia II,,CassiopeiaII,Rock,Planet,Rock Planet,Eta Cassiopeia,20,1.12,,,,Cold,High M,Average,Safe,"Cl,Co,H20,Ni,Pt",5,None,None,"Hills,Polar-Ice,SavannahBarren","Hills,Ice,Savannah",Unknown,41.7%,Yes,0,2,3,0,1,4,3,5,4,6,5,4,0,0
Cassiopeia II-a,,CassiopeiaIIa,Rock,Moon,Rock Moon,Eta Cassiopeia,20,0.47,,,,Temperate,Thin CO2,None,Biological,"Cl,H20,He-3,Ni,Pb,SiH3Cl,U,W",8,None,None,"Desert-Rocky,Desert-Sandy,Forest,Hills,Mountains,Ocean,Polar-Ice,SavannahBarren,Wetlands","Desert,Forest,Hills,Mountains,Ocean,Ice,Savannah,Wetlands",Unknown,75.0%,Yes,0,0,3,0,3,4,4,4,1,5,1,1,0,0
Cassiopeia III,,CassiopeiaIII,Rock,Planet,Rock Planet,Eta Cassiopeia,20,0.83,,,,Frozen,Std N2,Powerful,Safe,"Cl,H20,Ni,U",4,None,None,"Hills,Polar-Ice,SavannahBarren","Hills,Ice,Savannah",Unknown,41.7%,Yes,0,0,0,0,1,4,2,2,7,6,0,0,0,0
Cassiopeia III-a,,CassiopeiaIIIa,Barren,Moon,Barren Moon,Eta Cassiopeia,20,0.05,,,,Frozen,None,None,None,"Al,He-3",2,None,None,Cratered,Cratered,Unknown,33.3%,No,0,0,0,0,2,3,2,1,1,1,0,0,0,0
Cassiopeia IV,,CassiopeiaIV,Gas giant,Planet,Gas giant Planet,Eta Cassiopeia,20,1.57,,,,Deep freeze,H2,Extreme,None,,0,None,None,Ocean,Ocean,Unknown,33.3%,No,1,0,0,0,0,2,1,3,8,1,0,0,0,0
Cassiopeia IV-a,,CassiopeiaIVa,Rock,Moon,Rock Moon,Eta Cassiopeia,20,0.46,,,,Temperate,Thin M,Weak,Radioactive,"Cl,Fe,H20,HnCn,Ir,Ni,Ta,U",8,Marginal (4),Marginal (6),"Archipelago,Desert-Rocky,Mountains,Ocean,SavannahBarren","Coastal,Desert,Mountains,Ocean,Savannah",Unknown,83.3%,Yes,0,0,3,0,2,4,4,5,3,4,3,2,4,6
Cassiopeia IV-b,,CassiopeiaIVb,Ice,Moon,Ice Moon,Eta Cassiopeia,20,0.07,,,,Deep freeze,None,None,Safe,"H20,Ni",2,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0,0
Cassiopeia IV-c,,CassiopeiaIVc,Ice,Moon,Ice Moon,Eta Cassiopeia,20,0.08,,,,Deep freeze,None,None,Chemical,"H20,Ni,Pt",3,None,None,Polar-Ice,Ice,Unknown,41.7%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0,0
Fermi I,,FermiI,Rock,Planet,Rock Planet,Fermi,75,1.34,,,,Inferno,High CO2,Weak,None,"Ag,Hg,Pb,U,V",5,Unknown,Unknown,"Desert-Sandy,Mountains","Desert,Mountains",Unknown,54.2%,No,1,2,3,0,0,4,7,4,3,1,0,0,0*,0*
Fermi II,,FermiII,Rock,Planet,Rock Planet,Fermi,75,0.68,,,,Inferno,Extr CO2,Powerful,None,"Ag,Fe,HnCn,Pb",4,Unknown,Unknown,"Desert-Rocky,Hills,Mountains","Desert,Hills,Mountains",Unknown,54.2%,No,1,2,3,0,1,4,7,4,7,1,0,0,0*,0*
Fermi II-a,,FermiIIa,Barren,Moon,Barren Moon,Fermi,75,0.20,,,,Temperate,None,None,None,"Al,Be,Eu,He-3",4,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Fermi III,,FermiIII,Rock,Planet,Rock Planet,Fermi,75,0.66,,,,Temperate,Std O2,Average,Heavy metal,"Ar,C6Hn,Fe,H20,HnCn,Ir,U,V",8,Unknown,Unknown,"Desert-Sandy,Forest,Mountains,Ocean,Polar-Ice","Desert,Forest,Mountains,Ocean,Ice",Unknown,95.8%,Yes,0,0,0,0,1,4,4,6,4,2,3,3,3*,3*
Fermi III-a,,FermiIIIa,Barren,Moon,Barren Moon,Fermi,75,0.17,,,,Temperate,None,None,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Fermi III-b,,FermiIIIb,Barren,Moon,Barren Moon,Fermi,75,0.17,,,,Temperate,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,54.2%,No,0,0,0,0,2,3,4,1,1,1,0,0,0*,0*
Fermi IV,,FermiIV,Rock,Planet,Rock Planet,Fermi,75,0.75,,,,Cold,Std CO2,Average,Chemical,"Co,Cu,F,H20,Ir,Ni,U,V",8,Unknown,Unknown,"Desert-Rocky,Hills,Polar-Ice,SavannahBarren","Desert,Hills,Ice,Savannah",Unknown,45.8%,Yes,0,0,3,0,1,4,3,4,4,3,3,2,3*,2*
Fermi IV-a,,FermiIVa,Barren,Moon,Barren Moon,Fermi,75,0.07,,,,Cold,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Fermi IV-b,,FermiIVb,Barren,Moon,Barren Moon,Fermi,75,0.09,,,,Cold,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Fermi IX,,FermiIX,Gas giant,Planet,Gas giant Planet,Fermi,75,2.70,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Fermi IX-a,,FermiIXa,Ice,Moon,Ice Moon,Fermi,75,0.24,,,,Deep freeze,None,None,Chemical,"Co,H20,Ni",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Fermi IX-b,,FermiIXb,Ice,Moon,Ice Moon,Fermi,75,0.18,,,,Deep freeze,None,None,Safe,"H20,Ni,Pd",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Fermi IX-c,,FermiIXc,Ice,Moon,Ice Moon,Fermi,75,0.04,,,,Deep freeze,None,None,Chemical,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Fermi IX-d,,FermiIXd,Barren,Moon,Barren Moon,Fermi,75,0.27,,,,Deep freeze,Thin N2,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,2,1,1,0,0,0*,0*
Fermi IX-e,,FermiIXe,Ice,Moon,Ice Moon,Fermi,75,0.03,,,,Deep freeze,None,None,Chemical,"Ar,H20,R-COC",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Fermi V,,FermiV,Rock,Planet,Rock Planet,Fermi,75,0.97,,,,Cold,Std CO2,Weak,None,"Cl,Co,H20,Ni,Pb,Xe",6,Unknown,Unknown,"Desert-Rocky,Mountains,Polar-Ice,SavannahBarren","Desert,Mountains,Ice,Savannah",Unknown,54.2%,No,0,0,3,0,1,4,3,4,3,1,2,1,2*,1*
Fermi V-a,,FermiVa,Barren,Moon,Barren Moon,Fermi,75,0.11,,,,Cold,None,None,None,"Al,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Fermi VI,,FermiVI,Rock,Planet,Rock Planet,Fermi,75,0.57,,,,Frozen,Thin M,Very weak,Safe,"Cl,Cu,F,Fe,H20,HnCn,SiH3Cl,Ta",8,Unknown,Unknown,"Desert-Rocky,Hills,Mountains,Polar-Ice,SavannahBarren","Desert,Hills,Mountains,Ice,Savannah",Unknown,62.5%,Yes,0,0,3,0,1,4,2,5,2,6,0,0,0*,0*
Fermi VI-a,,FermiVIa,Barren,Moon,Barren Moon,Fermi,75,0.15,,,,Frozen,None,None,None,"Fe,He-3",2,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,2,1,1,1,0,0,0*,0*
Fermi VII,,FermiVII,Gas giant,Planet,Gas giant Planet,Fermi,75,1.93,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,5,1,0,0,0*,0*
Fermi VII-a,,FermiVIIa,Rock,Moon,Rock Moon,Fermi,75,0.47,,,,Frozen,Std M,Very weak,Safe,"Co,Cu,F,H20,Ni,Pd,Pt,U",8,Unknown,Unknown,"Archipelago,Desert-Sandy,Ocean","Coastal,Desert,Ocean",Unknown,45.8%,Yes,0,0,3,0,1,4,2,5,2,6,0,0,0*,0*
Fermi VII-b,,FermiVIIb,Rock,Moon,Rock Moon,Fermi,75,0.42,,,,Deep freeze,Thin N2,None,None,"Al,Dy,Eu,H20,He-3,Pb,W",7,Unknown,Unknown,"Cratered,Desert-Rocky,Mountains","Cratered,Desert,Mountains",Unknown,54.2%,No,1,0,0,0,3,4,1,2,1,1,0,0,0*,0*
Fermi VII-c,,FermiVIIc,Rock,Moon,Rock Moon,Fermi,75,0.49,,,,Temperate,Thin M,None,Chemical,"Al,Be,Cu,Fe,H20,Nd,Ni,U",8,Unknown,Unknown,"Archipelago,Forest,Mountains,Ocean,Polar-Ice,SavannahBarren","Coastal,Forest,Mountains,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,0,3,0,3,4,4,5,1,3,2,2,2*,2*
Fermi VIII,,FermiVIII,Gas giant,Planet,Gas giant Planet,Fermi,75,1.42,,,,Deep freeze,H2,Powerful,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,7,1,0,0,0*,0*
Fermi VIII-a,,FermiVIIIa,Ice,Moon,Ice Moon,Fermi,75,0.31,,,,Deep freeze,None,None,Heavy metal,"Ar,C6Hn,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,2,0,0,0*,0*
Fermi VIII-b,,FermiVIIIb,Rock,Moon,Rock Moon,Fermi,75,0.44,,,,Deep freeze,None,None,None,"H20,Pb",2,Unknown,Unknown,"Desert-Rocky,Ocean","Desert,Ocean",Unknown,37.5%,No,1,0,0,0,0,4,1,1,1,1,0,0,0*,0*
Fermi VIII-c,,FermiVIIIc,Ice,Moon,Ice Moon,Fermi,75,0.09,,,,Deep freeze,None,None,Safe,"Cl,H20,SiH3Cl",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Fermi VIII-d,,FermiVIIId,Ice,Moon,Ice Moon,Fermi,75,0.20,,,,Deep freeze,None,None,Safe,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Fermi X,,FermiX,Barren,Planet,Barren Planet,Fermi,75,0.94,,,,Deep freeze,None,Weak,None,"Fe,He-3,Ta,Yb",4,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,3,1,0,0,0*,0*
Feynman I,,FeynmanI,Rock,Planet,Rock Planet,Feynman,55,0.64,,,,Inferno,Std M,None,None,"Cl,Cu,F,Ir,Li,SiH3Cl,U,xF4",8,Primordial (3),None,"Desert-Rocky,Desert-Sandy,Hills,Mountains,SavannahBarren","Desert,Hills,Mountains,Savannah",Unknown,58.3%,No,1,0,3,0,0,4,7,5,1,1,0,0,3,0
Feynman II,,FeynmanII,Rock,Planet,Rock Planet,Feynman,55,0.48,,,,Scorched,Thin CO2,Weak,None,"Ag,Ir,Pb,U,V",5,Unknown,Unknown,"Desert-Rocky,Desert-Sandy,Mountains","Desert,Mountains",Unknown,54.2%,No,0,0,3,0,0,4,6,4,3,1,0,0,0*,0*
Feynman III,,FeynmanIII,Rock,Planet,Rock Planet,Feynman,55,1.63,,,,Temperate,High O2,Powerful,Safe,"Cl,Fe,H20,HnCn,Ir,Ta,U,V",8,Unknown,Unknown,"Archipelago,Desert-Sandy,Forest,Mountains,Ocean,Polar-Ice","Coastal,Desert,Forest,Mountains,Ocean,Ice",Unknown,95.8%,Yes,0,2,0,0,1,4,4,6,7,6,7,6,7*,6*
Feynman IV,,FeynmanIV,Rock,Planet,Rock Planet,Feynman,55,0.57,,,,Cold,Thin O2,Powerful,Safe,"Al,Ar,C6Hn,Cl,Fe,H20,He-3,SiH3Cl",8,Unknown,Unknown,"Cratered,Mountains,Ocean,Polar-Ice,SavannahBarren","Cratered,Mountains,Ocean,Ice,Savannah",Unknown,79.2%,Yes,0,0,0,0,3,4,3,6,7,6,9,7,9*,7*
Feynman IX,,FeynmanIX,Barren,Planet,Barren Planet,Feynman,55,0.69,,,,Deep freeze,None,Weak,None,"Al,Eu,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,3,1,0,0,0*,0*
Feynman IX-a,,FeynmanIXa,Ice,Moon,Ice Moon,Feynman,55,0.07,,,,Deep freeze,None,None,Chemical,"H20,Pb",2,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Feynman V,,FeynmanV,Rock,Planet,Rock Planet,Feynman,55,0.65,,,,Cold,Std O2,Powerful,Chemical,"Co,Cu,F,H20,IL,Ni,Pb,W",8,Unknown,Unknown,"Desert-Rocky,Polar-Ice,SavannahBarren","Desert,Ice,Savannah",Unknown,62.5%,Yes,0,0,0,0,2,4,3,6,7,3,5,4,5*,4*
Feynman V-a,,FeynmanVa,Barren,Moon,Barren Moon,Feynman,55,0.06,,,,Cold,None,None,None,"Fe,He-3,HnCn",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,2,3,3,1,1,1,0,0,0*,0*
Feynman V-b,,FeynmanVb,Barren,Moon,Barren Moon,Feynman,55,0.07,,,,Cold,None,None,None,,0,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,0,0,0,0,0,3,3,1,1,1,0,0,0*,0*
Feynman VI,,FeynmanVI,Gas giant,Planet,Gas giant Planet,Feynman,55,2.45,,,,Deep freeze,H2,Strong,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,5,1,0,0,0*,0*
Feynman VI-a,,FeynmanVIa,Ice,Moon,Ice Moon,Feynman,55,0.05,,,,Deep freeze,None,None,Safe,"H20,Pd,W",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,6,0,0,0*,0*
Feynman VI-b,,FeynmanVIb,Barren,Moon,Barren Moon,Feynman,55,0.28,,,,Deep freeze,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,1,1,1,1,0,0,0*,0*
Feynman VI-c,,FeynmanVIc,Ice,Moon,Ice Moon,Feynman,55,0.28,,,,Deep freeze,None,None,Chemical,"H20,Pb,W",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,1,3,1,1,1,3,0,0,0*,0*
Feynman VII,,FeynmanVII,Gas giant,Planet,Gas giant Planet,Feynman,55,4.66,,,,Deep freeze,H2,Extreme,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,4,0,2,1,3,8,1,0,0,0*,0*
Feynman VII-a,,FeynmanVIIa,Ice,Moon,Ice Moon,Feynman,55,0.19,,,,Deep freeze,None,None,Safe,"Ar,H20,R-COC",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Feynman VII-b,,FeynmanVIIb,Rock,Moon,Rock Moon,Feynman,55,0.40,,,,Deep freeze,Thin N2,None,Safe,"Al,Ar,H20,He-3,Nd,Pb,Pu,U",8,Unknown,Unknown,"Cratered,Desert-Rocky,Mountains,Polar-Ice","Cratered,Desert,Mountains,Ice",Unknown,62.5%,Yes,1,0,0,0,2,4,1,2,1,6,0,0,0*,0*
Feynman VII-c,,FeynmanVIIc,Ice,Moon,Ice Moon,Feynman,55,0.06,,,,Deep freeze,None,None,Safe,"Cu,F,H20",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Feynman VIII,,FeynmanVIII,Gas giant,Planet,Gas giant Planet,Feynman,55,1.41,,,,Deep freeze,H2,Powerful,None,,0,Unknown,Unknown,Ocean,Ocean,Unknown,37.5%,No,1,0,0,0,0,2,1,3,7,1,0,0,0*,0*
Feynman VIII-a,,FeynmanVIIIa,Ice,Moon,Ice Moon,Feynman,55,0.03,,,,Deep freeze,None,None,Heavy metal,"Ar,H20,R-COC",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,2,0,0,0*,0*
Feynman VIII-b,,FeynmanVIIIb,Ice,Moon,Ice Moon,Feynman,55,0.27,,,,Deep freeze,None,None,Safe,"Au,Cu,F,H20,Sb",5,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,6,0,0,0*,0*
Feynman VIII-c,,FeynmanVIIIc,Rock,Moon,Rock Moon,Feynman,55,0.44,,,,Deep freeze,None,None,None,"Cl,Fe,H20,SiH3Cl",4,Unknown,Unknown,"Mountains,Ocean,Polar-Ice,SavannahBarren","Mountains,Ocean,Ice,Savannah",Unknown,54.2%,No,1,0,0,0,1,4,1,1,1,1,0,0,0*,0*
Feynman VIII-d,,FeynmanVIIId,Rock,Moon,Rock Moon,Feynman,55,0.43,,,,Deep freeze,None,None,None,"Au,Cu,Fe,H20,Hg,Pb",6,Unknown,Unknown,"Desert-Rocky,Mountains,Ocean,Polar-Ice","Desert,Mountains,Ocean,Ice",Unknown,54.2%,No,1,0,0,0,1,4,1,1,1,1,0,0,0*,0*
Feynman VIII-e,,FeynmanVIIIe,Ice,Moon,Ice Moon,Feynman,55,0.03,,,,Deep freeze,None,None,Chemical,"Cu,H20,xF4",3,Unknown,Unknown,Polar-Ice,Ice,Unknown,45.8%,Yes,1,0,0,0,0,3,1,1,1,3,0,0,0*,0*
Foucault I,,FoucaultI,Barren,Planet,Barren Planet,Foucault,60,0.76,,,,Inferno,None,None,None,"Al,Be,He-3",3,Unknown,Unknown,Cratered,Cratered,Unknown,37.5%,No,1,0,0,0,2,3,7,1,1,1,0,0,0*,0*
